queue1,queue2,action
37,7,3
41,36,2
6,14,2
41,24,3
28,7,3
4,27,1
13,12,2
25,29,2
43,31,2
43,34,2
7,20,2
44,4,3
43,10,3
22,41,1
36,7,3
6,37,1
19,24,2
41,45,2
36,4,3
43,20,3
30,5,3
2,43,1
38,5,3
42,35,2
31,37,2
34,39,2
33,4,3
18,18,2
29,12,2
8,36,1
32,19,3
1,41,1
12,8,2
2,12,2
4,7,2
37,6,3
31,39,2
14,26,2
43,25,2
2,7,2
20,38,2
17,28,2
34,16,3
36,23,2
8,18,2
22,3,3
20,11,2
29,6,3
32,8,3
34,11,3
12,19,2
31,2,3
29,41,2
7,43,1
5,22,1
22,22,2
43,15,3
15,41,1
26,17,2
10,5,2
34,35,2
11,18,2
23,11,2
31,18,3
40,4,3
43,6,3
25,42,1
6,43,1
7,26,1
12,3,2
38,11,3
11,16,2
37,37,2
11,1,3
42,2,3
16,8,2
9,29,1
11,33,1
28,29,2
21,20,2
16,25,2
37,13,3
26,34,2
25,9,3
41,31,2
13,8,2
34,17,3
34,28,2
17,35,1
26,4,3
3,42,1
2,35,1
24,22,2
35,20,2
42,20,3
6,14,2
26,23,2
21,23,2
1,37,1
15,36,1
21,29,2
4,27,1
30,44,2
24,13,2
35,16,2
35,6,3
32,47,2
1,32,1
3,24,1
16,32,2
27,27,2
33,33,2
20,27,2
41,36,2
36,26,2
49,50,2
27,11,2
16,5,3
5,5,2
31,3,3
39,20,2
21,22,2
4,18,2
13,38,1
7,32,1
14,39,1
22,47,2
26,49,2
23,9,2
44,7,3
26,35,2
48,4,3
32,26,2
48,27,2
12,43,1
34,24,2
14,20,2
34,34,2
35,37,2
3,26,1
12,17,2
11,7,2
34,29,2
43,13,3
17,2,2
39,38,2
34,12,2
0,22,1
30,35,2
19,18,2
46,37,2
0,20,1
23,34,2
21,35,2
23,22,2
39,0,3
16,16,2
40,21,3
24,13,2
1,10,2
8,41,1
36,21,2
24,45,2
7,19,2
17,39,2
30,20,2
9,41,1
37,38,2
12,19,2
46,11,3
13,40,1
39,48,2
9,16,2
14,34,2
4,22,1
29,42,2
34,39,2
27,8,3
21,43,2
32,50,1
33,26,2
34,45,2
32,29,2
48,7,3
10,10,2
36,20,2
12,38,1
6,42,1
30,40,2
22,16,2
23,27,2
33,4,3
39,5,3
17,6,3
33,34,2
21,25,2
42,9,3
42,25,3
13,7,2
31,2,3
