queue1,queue2,action
0,41,1
1,49,1
1,46,1
1,7,4
2,39,1
2,25,2
2,12,2
2,13,3
2,6,4
2,3,4
3,33,1
3,47,1
3,20,2
3,7,4
4,36,1
4,40,1
4,30,1
4,15,2
4,21,2
4,1,4
4,6,4
4,7,4
5,20,2
5,20,2
6,36,1
6,25,1
6,26,2
6,21,2
6,15,3
6,8,4
6,5,4
6,15,4
7,33,1
7,42,1
7,48,1
7,17,2
7,29,2
7,3,4
7,10,4
7,6,4
8,37,1
8,40,1
8,48,1
8,19,2
8,22,3
8,13,4
8,8,4
8,16,4
9,29,1
9,26,2
9,19,3
9,20,3
10,41,1
10,33,3
10,10,4
10,4,5
11,24,3
11,19,3
11,11,4
11,5,4
12,37,3
12,6,4
12,16,4
12,18,4
12,0,6
13,35,3
13,27,3
13,20,3
13,10,4
13,19,4
13,3,4
14,34,3
14,21,3
14,15,4
14,20,4
14,13,4
14,3,6
14,5,6
14,3,6
15,40,3
15,26,3
15,36,3
15,17,4
15,12,4
15,6,5
16,35,3
16,29,3
16,1,6
17,45,2
17,27,3
17,40,3
17,27,4
17,5,6
18,17,4
18,4,6
19,31,3
19,39,2
19,40,3
19,16,4
19,6,6
20,19,4
20,20,4
20,8,6
21,27,4
22,43,3
22,18,4
22,23,4
22,13,5
22,12,5
22,4,6
23,34,4
23,26,4
24,46,3
24,22,4
24,12,5
24,17,5
24,3,7
25,24,4
25,12,5
25,12,6
26,31,4
26,8,6
27,48,3
27,25,4
27,28,4
27,33,4
27,24,4
27,10,6
28,19,5
28,9,6
28,2,7
28,4,7
29,37,3
29,25,4
29,16,5
29,13,5
29,18,5
29,12,6
31,25,4
31,33,4
31,17,5
31,20,6
31,5,7
32,29,4
32,20,5
32,19,6
32,6,6
32,8,7
33,46,4
33,14,6
33,13,6
33,5,7
34,41,3
34,2,7
35,44,3
35,21,5
35,20,5
35,15,6
36,19,5
36,22,5
36,9,7
37,25,5
37,8,7
37,4,7
38,44,4
38,39,4
38,31,4
38,12,6
38,18,6
38,4,7
39,17,5
39,22,5
40,26,5
40,5,7
40,7,7
40,3,7
41,41,4
41,8,7
41,6,7
42,11,6
42,15,6
42,7,7
43,0,7
45,4,7
46,40,4
46,50,4
46,35,4
46,26,5
47,39,4
47,22,5
47,2,7
48,35,4
48,22,5
48,28,5
48,17,5
48,11,7
48,6,7
49,38,4
49,4,7
